 ,Australia,Brazil,Canada,Switzerland,Chile,China,Colombia,United Kingdom,Hong Kong SAR,Indonesia,India,Japan,Cambodia,Korea,Mexico,Malaysia,New Zealand,Peru,Philippines,Sweden,Singapore,Thailand,United States,Vietnam,Eurosystem,South Africa,Turkey
Standing facilities,"Deposit, lending","Lending, deposit","Lending (Standing Liquidity Facility), deposit (Deposit Facility)",Liquidity –shortage financing facility,"Lending, deposit",Lending,"Lending, deposit","Collateralised lending, unsecured deposit",Lending,"Lending, deposit",Lending of funds through Marginal Standing Facility (MSF); Deposit of funds through standing deposit facility (SDF) [30],"Lending, deposit",MLFs,"Lending, deposit",Lending and deposit facilities,"Lending, deposit","Lending, deposit","Lending, deposit","Lending, deposit","O/N Lending facility, O/N Deposit facility and a O/N Supplementary liquidity facility.","Lending, deposit","Lending, deposit","Lending (discount window, FIMA repo facility, Standing repo facililty), deposit (ON RRP facility and Foreign repo pool)Â ",Yes,"Lending, deposit",End of day standing facilities for squaring the market,"Lending, deposit"
Corridor width (bp),"[target -10, target +25] = 35 bps",70 (from Selic rate -35 bp to Selic rate +35 bp),25,N/A,50 (Deposit: MPR - 25; Lending: MPR + 25),N/A,200,"Currently 50 (Deposit: Policy rate less 25bps, Lend: Policy rate plus 25bps)", ,150,"50 bps since April 08, 2022","40
Lending (the basic loan rate): 30bps
Deposit (the short-term policy interest rate): – 10bps",N/A,200,Variable (Deposit: MPR 0%; Lending: MPR * 2) [31],50,Width of corridor 25bps. Floor: OCR -0bps Cap: OCR+25 bps,250,100,20 bps,100,100,25 bp [32], ,75 [33],Repo plus and minus 100 bps,300 bp
Reserve requirements,Yes,"Yes. Aplicable for demand deposits, savings and time deposits",Zero,Yes,Yes,Yes,Yes,No. In an explanatory note published in August the Bank set out that it was minded to use a variant of the current floor system as the stock of purchased assets is reduced,No,Yes,Yes,Yes,Yes,Yes,No [34],Yes,No [35],Yes,Yes,No,Yes,Yes,No [36],Yes,Yes,2.5% of liabilities,Yes
* maintenance period,Daily,Two weeks for demand deposits / 1 week for savings and time deposit,N/A,"1 month, from the 20th day to the 19th day of the subsequent month","1 month, from the 9th of a given month to the 8th of the following month.",10 days,14 days,Six to eight weeks, ,2 weeks,2 weeks,1 month,14 days,1 month,N/A,2 weeks,N/A,Monthly,1 week,N/A,2 weeks,2 weeks,n/a,one month,Around 6/7 weeks,Typically 21 days (Between mid-month to mid-month),14 days
Main operation [37],RP (liquidity injection) / outright purchases,Repo / reverse repo,Overnight Repo (OR) / Overnight Reverse Repo (ORR) [38],"To keep secured short-term Swiss franc money market rates close to the positive SNB policy rate, the SNB uses a tiered reserve remuneration system and conducts liquidity absorbing operations. The main operations are repo transactions and issuance of own debt register claims, so-called SNB Bills.",Central Bank bills,RT,RP,The Bank operates a weekly Short Term Repo (STR) facility designed to ensure banks have ready access to reserves at Bank Rate. For the STR:,Convertibility undertaking at HKD 7.75 to USD 1 and HKD 7.85 to USD 1,RRP,14-day variable rate term-repo/reverse repo [39],"Purchases of JGBs and T-Bills, U.S. Dollar Funds-Supplying Operations, purchases of CP and corporate bonds, purchases of ETFs and J-REITs, etc. [40]",NCD,MSBs / RRP / MSA [41],RP and Deposits,"Direct borrowing, RS, RP, CB Bills, FX swaps","In the current floor system, there is less need to run open market operations to manage reserves in the banking system. The quantity of reserves is a result of those injected via asset purchases and Term Funding schemes.

RB Bills are still offered at regular intervals as a cash management tool for banks.

RBNZ has recently introduced an additional Standing Repo Facility priced at OCR minus 15bps to assist in absorbing excess liquidity.","RP, Central bank Bills, Time Deposits",RRP,Issuance of Riksbank certificates,FX intervention,RS / CB bills and bonds / FX Swap,"(1) RP (FIMA repo facility, Standing repo facility)
(2) RS (ON RRP facility) & FIMA Repo
(3) Reinvestments and temporary transactions in Treasury and Agency MBS and Agency debt.","The State Bank of Vietnam conducts monetary policy tools in flexible and synchronous manner to stabilize the monetary and foreign exchange markets, control inflation, ensure liquidity for the economy, and support growth.",RP. The standard monetarty policy operations are MROs and 3m LTROs. [42],"The MPIF has moved from a shortage to a surplus system with quotas. A 7 day weekly repo is still offered, albeit on a much smaller scale.",RP
* functions,Liquidity management. Drain liquidity.,Liquidity injection / withdrawal,"OR/ORR: Support the effective implementation of monetary policy by injecting (OR) or withdrawing (ORR) liquidity intraday, complementing standing deposit and lending facilities.", ,Adjust amount of reserves availables to hte banking system, ,Liquidity injection,Provide market with central bank reserves,To maintain spot exchange rate within HKD 7.75–7.85 to USD 1,liquidity management,For managing frictional liquidity requirements,"Under the QQE with YCC framework, the BOJ purchases a necessary amount of JGBs and T-Bills to realize a yield curve in line with the guieline for market operations.",Liquidity management,Keeping the O/N call rate from deviating sharply from the Base Rate (Liquidity Management),Liquidity management [43], ,NA,Liquidity management,Liquidity management; reinforce the policy rate,Liquidity withdrawal,Monetary policy implementation,Mainly liquidity absorption,Interest rate control as well as to help foster smooth market functioning and to influence financial conditions, , ,To cover money market liquidity requirements,Providing liquidity to the system.
* maturity (days),"Typically 4 weeks or less, although longer terms may be offered if warranted by market conditions",1 to 360,1,As required,up to 360 days,"Generally 7 days, other maturity up to 1 year, conducted discretionarily","Normally 7 days and 1 labor day, but it can be longer. So far the longest period has been 1 year.",7 days,Spot,1 week – 12 months,14 days, ,"7days, 14days, 28days, 91days, 182days, 364days","MSBs: 14 d to 3 yrs
MSAs:1-91 days
RRP: 1-91 days",Up to 30 days,O/N – 3 yr [44],NA,Various,O/N,7 days,spot,"1,7,14 days and 1 month / 3 months to 2 yrs/ up to 1 yr",(1) 1 (2) n.a., ,7 for the MRO and 3m for the LTRO,7 days,5-12 days
* regular interval,Yes,Yes,ORR conducted daily. OR and extra rounds of ORR are conducted as required.,As required,Yes,Yes,Yes,1 week,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,NA,No,Yes,Yes,No,Yes,Yes, ,Yes,Yes,1 week
* frequency,1 x w,As required,ORR conducted daily. OR and extra rounds of ORR are conducted as required.,As required,Auctions are conducted every day of the week,Daily,Daily,Weekly - alongside APF gilt sales,"Irregular, upon banks’ requests",Daily (1 week) [45],Fortnightly,As needed,Weekly (Subscription: Wednesdays; Settlement: Thursdays),2 x w / 1 x w / 1 x w,Daily (>1 x d),Direct borrowing 2 x d; RS 1 x d; RP; monetary notes,NA,As required,1 x d,Weekly (Tuesdays),When necessary,Daily / 1-2 times per week /Discretionary,"(1) RS : daily
(2) Treasury rollovers: when necessary (upon maturity); Agency MBS reinvestments: when necessary [46]", ,1 x w for the MRO / 1 x quarter for LTRO,weekly,Daily
Overall frequency,1 x w,As required,"Daily for ORRs, ad hoc for ORs",As required,≈5 x w,Daily,Daily,For STR - weekly,N/A,Daily,Fortnightly,As needed,Weekly,4 x w,Daily,2 x d,NA,Daily,1 x d,Weekly,When necessary,Daily,As needed,As above,≈1 x w,weekly, 
Discretion left to operational desk,"Use of instruments within authorisation, size and timing of operations","Some discretion with respect to choice of instruments (mainly overnight repos), size and timing of operations in order to reach the interest rate target","No discretion left to operational desks for standing facilities or daily ORR.
Operational desks have discretion to use OR or extra rounds of ORR to reinforce target rate allocated at or near the policy rate [47]", ,"Since 2018, the Board decided to change the structure of monetary policy meetings. In the current format, there are three sessions, beginning the afternoon before the day policy decision is announced. During the first session, on the afternoon of the first day, local and external economic and financial information collected since the last meeting are examinated. On the morning session of the second day, staff presents and discusses updated forecast, also analyzing monetary policy options. Later that day, in the afternoon session, each Board member votes and substantiate his decision. Once voting has taken place, the Board's official communiquÃ© will be reviewed and approved.", ,No discretion left to operational desks for standard monetary policy operations. Some discretion left to operational desks for the implementation of certain asset purchase operations within the set of non-standard monetary policy measures.,No discretion to desk. Unlimited size,"Market operations within the Convertibility Zone between 7.75 and 7.85, in accordance with Currency Board principles, to promote the smooth functioning of the Linked Exchange Rate System","maturity, amounts, and timing","Some discretion with respect to the choice of instrument, size, tenor and timing of operations in case of fine tuning operations","Size, frequency, and timing of individual operations reflecting the market environment, choice of purchasing instruments, level of adjustment factor called ""Benchmark ratio"" for calculating current account balance which the interest rate of 0% is applied to (i.e. ""Macro Add-on Balance""). [48]",NCD: Choice of Size,"Choice of instruments, size and timing of operations",The operational desk has some discretion over certain aspects of RPs and Deposits such as tenors and amounts offered.,"Choice of instruments, timing, amounts and rates (other than overnight)",Yes,No. The Operational desk proposes the term and size of auctions; however the final decision is taken by Monetary Operations Committee (MOC).,Some discretion with respect to size and timing,Choice of size.,"Choice of size, tactics and timing of intervention.","Some discretion with respect to choice of instruments, size and timing of operations","The Desk is directed to undertake OMOs “as necessary” to maintain the FOMC’s federal funds target range, but most OMOs are executed under more specific direction. In particular, the FOMC sets policy-sensitive parameters of RRP operations (such as the offering rate and size limits); the Desk has some discretion over certain operational aspects of RRPs. The aggregate size of securities reinvestments is set by the FOMC based on a cap structure to ensure runoff occurs in a predictable manner over time and are fixed by the amount of maturities or principal paydowns. The Desk has some discretion over the size, timing, and execution of certain types of individual operations.",As above,"No discretion left to operational desks for standard monetary policy operations, assuming all counterparty and collateral eligiblity criteria are fulfilled. Some discretion left to operational desks for the implementation of certain asset purchase operations within the set of non-standard monetary policy measures.",no, 
Key policy signals via, ,Selic Rate, , , , , , , , , , , , , , , , , , , , , ,No, , , 
* announcement,√,Communication just after meeting (the market is closed). Auction effective in the next morning,√,√,√,√,√,√,N/A,√,√,√,Yes,√,Yes,√,Yes [49],√,√,√,√ [50],√,√, ,√, , 
* keynote tender, ,Repo / reverse repos, ,√, , , , ,N/A, , , , ,√,No, , ,√,√, , ,√ (RS 1-day), , ,√, , 
* standing facility, ,"Lending, deposit", , ,√, , , ,N/A, , ,√, ,√,Yes, , ,√, , , , ,√, ,√, , 
* other, , , ,√ [51], , , , ,N/A,√,√ (CRR), , , ,No, , , , , , , , , ,"√ (APP purchase pace, full allotment horizon)",MPC rate decision, 
Explicit use of forward guidance,When the Board considers appropriate,"BCB made an explicit use of forward guidance in August 2020, which ended in January 2021. Copom often provides some forward guidance on its next decision.",Yes,No,No, ,No,Yes (introduced in August 2013),N/A,Y,As communicated through the monetary policy resolution statement and/or Governor's policy statement,"Yes. The Bank commits itself to continue with QQE with YCC, aiming to achieve the price stability target of 2%, as long as it is necessary for maintaining that target in a stable manner. It will continue expanding the monetary base until the year-on-year rate of increase in the observed CPI (all items less fresh food) exceeds 2% and stays above the target in a stable manner. Regarding the policy rates, the Bank expects short- and long-term policy interest rates to remain at their present or lower levels.",Yes,Yes [52],Yes [53],-,"Time-based forward guidance was used for 12 months from March 2020.
3 year OCR rate projection is published in each quarterly Monetary Policy Statement","Qualitative Forward Guidance: The Board indicates what is expected in the near future regarding the monetary policy stance, and how is this related with the inflation determinants.",Yes,"Yes (policy rate path, forecast)",Yes. Forward guidance has been used occasionally [54],No,Explicit forward guidance has been used at times as a monetary policy measure,Not applicable,Yes until July 2022.,"No such use at present, though the SARB publishes the endogenous policy rate projection from its Quarterly Projection Model, conditional on a set of assumptions.",Yes.
Timing / media of policy announcement,Yes. 2.30 pm on day of board meeting; central bank website and Reuters and Bloomberg.,"6:30 p.m. or later, on the second day of Copom meeting, right after the meeting finishes (after domestic markets closure) / BCB website",10:00am EST on pre-determined announcement dates via central bank website and media in the lock-up press room.,"9:30 am on the day of monetary policy assessment on central bank website, wire services; 10:00 am media conference (four times a year)","Yes. 6 PM (local time), of the second day of the Monetary Policy Meeting. Central bank website.","In each quarter, PBC holds press briefing on financial statistics in the first month, releases the Monetary Policy Report in the second month, and holds quarterly meeting of the Monetary Policy Committee followed with announcement in the third month. Besides, statements on PBC website, relevant newspaper, official account of online social media such as Wechat and Weibo are also widely used in regular market communication.",Press release and press conference immediately after board meeting. Both transmitted through bank website.,12 pm on day of MPC decision; central bank website.,N/A,"Yes. 14:00 pm on the day second day of board meeting via press conference and live streaming on central bank website via youtube, social media and press release","On a pre-announced time, on the last day of Monetary Policy Committee (MPC) Meeting when the MPC’s resolution is released on the central bank website following Governor's statement",Yes. Immediately after each Monetary Policy Meeting / Central bank website.,"Immediately after each Monetary Policy meeting; Central bank website, Facebook page",On day of board meeting; Bank of Korea website,Yes. Monetary policy decisions are announced at 13:00 GMT-6 on the day of the board meeting (Thursdays) via the central bank website.,At 3.00 pm on day 2 of MPC meeting; central bank website,2pm on the policy decision date,6:00 pm on the day of board meeting; central bank website,Press release at 3 PM on the day of monetary policy meeting [55],"Five times a year, Monetary policy report and press release are published 9.30 the day after the monetary policy meeting","Twice a year;
MAS website [56]","2.00 pm. on the day of MPC meeting; BOT website, Reuters and Bloomberg",Via Federal Reserve website following conclusion of each FOMC policy meeting,"The mechanisms and policies of the State Bank are promptly, clearly and systematically communicated. In addition to the official communication channels such as the Central Bank's website, press conferences, seminars, workshops, symposiums, SBV's communication also covers the National Assembly delegates, Government agencies, the press, enterprises, investors, economic experts, etc.",Release of monetary policy decisions at 14:15 ECB time on the day of the monetary policy Governing Council meeting on the ECB website.,The MPC statement is read at a press conference at 15.00 SA time on the afternoon of the third day of the meeting. It is subsequently published on the SARB website and distributed via other social media platforms.,MPC decisions are announced on the day of the meeting at 2:00 p.m on official website of CBRT.
